step,loss,reward,reward_std,mean_length,min_length,max_length,clipped_ratio,mean_term_length,min_term_length,max_term_length,kl,format_exact,format_exact_std,format_approx,format_approx_std,check_action,check_action_std,check_env,check_env_std
92,0.000400,11.000000,0.000000,39.000000,27.000000,56.000000,0.000000,39.000000,27.000000,56.000000,0.388278,3.000000,0.000000,2.000000,0.000000,4.500000,0.000000,1.500000,0.000000
93,0.000300,11.000000,0.000000,37.093750,24.000000,59.000000,0.000000,37.093750,24.000000,59.000000,0.327091,3.000000,0.000000,2.000000,0.000000,4.500000,0.000000,1.500000,0.000000
94,0.000400,11.000000,0.000000,39.531250,27.000000,65.000000,0.000000,39.531250,27.000000,65.000000,0.393717,3.000000,0.000000,2.000000,0.000000,4.500000,0.000000,1.500000,0.000000
95,0.000400,11.000000,0.000000,36.750000,25.000000,61.000000,0.000000,36.750000,25.000000,61.000000,0.440189,3.000000,0.000000,2.000000,0.000000,4.500000,0.000000,1.500000,0.000000
96,0.000400,11.000000,0.000000,31.562500,24.000000,49.000000,0.000000,31.562500,24.000000,49.000000,0.448195,3.000000,0.000000,2.000000,0.000000,4.500000,0.000000,1.500000,0.000000
97,0.000500,11.000000,0.000000,33.656250,24.000000,51.000000,0.000000,33.656250,24.000000,51.000000,0.477393,3.000000,0.000000,2.000000,0.000000,4.500000,0.000000,1.500000,0.000000
98,0.000500,11.000000,0.000000,36.031250,24.000000,61.000000,0.000000,36.031250,24.000000,61.000000,0.464842,3.000000,0.000000,2.000000,0.000000,4.500000,0.000000,1.500000,0.000000
99,0.025100,10.906250,0.265165,35.718750,23.000000,56.000000,0.000000,35.718750,23.000000,56.000000,0.675593,3.000000,0.000000,2.000000,0.000000,4.406250,0.530330,1.500000,0.000000
100,0.000400,11.000000,0.000000,38.343750,28.000000,65.000000,0.000000,38.343750,28.000000,65.000000,0.385024,3.000000,0.000000,2.000000,0.000000,4.500000,0.000000,1.500000,0.000000
101,0.000500,11.000000,0.000000,37.562500,25.000000,90.000000,0.000000,37.562500,25.000000,90.000000,0.501837,3.000000,0.000000,2.000000,0.000000,4.500000,0.000000,1.500000,0.000000
102,0.000500,11.000000,0.000000,34.000000,24.000000,49.000000,0.000000,34.000000,24.000000,49.000000,0.514770,3.000000,0.000000,2.000000,0.000000,4.500000,0.000000,1.500000,0.000000
103,0.000400,11.000000,0.000000,34.781250,24.000000,58.000000,0.000000,34.781250,24.000000,58.000000,0.445936,3.000000,0.000000,2.000000,0.000000,4.500000,0.000000,1.500000,0.000000
